frame_id,time,x,y,z,theta
17,1611047285.77894,-0.08466771630616166,-0.338312842629676,0.0,1.35328
39,1611047287.9781792,-0.08365404634772552,-0.33372637038093994,0.0,1.35328
40,1611047288.0781949,-0.08330543326231785,-0.3321490283393198,0.0,1.35328
41,1611047288.1782227,-0.08312901446881263,-0.3313508001844523,0.0,1.35328
42,1611047288.2782059,-0.08302245351662937,-0.330868652276329,0.0,1.35328
43,1611047288.378231,-0.08295110652240235,-0.33054583417727257,0.0,1.35328
44,1611047288.4782434,-0.08289996766692909,-0.33031445024455536,0.0,1.35328
45,1611047288.5782294,-0.0828615128602098,-0.33014045682354026,0.0,1.35328
46,1611047288.6782541,-0.08283153638266821,-0.3300048246276611,0.0,1.35328
47,1611047288.7782567,-0.08280750684544134,-0.3298961000820398,0.0,1.35328
48,1611047288.8826845,-0.08278780940802566,-0.32980697664563285,0.0,1.35328
49,1611047288.9782937,-0.08277136539101393,-0.329732573703083,0.0,1.35328
50,1611047289.0783308,-0.0827574268120848,-0.3296695069179689,0.0,1.35328
51,1611047289.178329,-0.08274545867979899,-0.3296153556568595,0.0,1.35328
52,1611047289.2783523,-0.08273506822102826,-0.3295683427702617,0.0,1.35328
53,1611047289.3810127,-0.0827259605694215,-0.32952713409972945,0.0,1.35328
54,1611047289.478134,-0.08271791004959089,-0.3294907085496935,0.0,1.35328
55,1611047289.5781484,-0.08271074100800262,-0.32945827135450884,0.0,1.35328
56,1611047289.6786659,-0.08270431468214925,-0.32942919466643844,0.0,1.35328
57,1611047289.7783198,-0.08269851999962027,-0.3294029759249356,0.0,1.35328
58,1611047289.8782134,-0.08269326700006535,-0.3293792080935219,0.0,1.35328
59,1611047289.9782083,-0.08268848204729456,-0.3293575579963556,0.0,1.35328
60,1611047290.078322,-0.08268410428781575,-0.329337750294456,0.0,1.35328
61,1611047290.1783648,-0.08268008299298397,-0.32931955545993774,0.0,1.35328
62,1611047290.2781558,-0.082676375537822,-0.3293027806309391,0.0,1.35328
63,1611047290.3783083,-0.0826729458454131,-0.32928726257308977,0.0,1.35328
64,1611047290.4781458,-0.08266976317637491,-0.32927286220233887,0.0,1.35328
65,1611047290.5781589,-0.08266680117729033,-0.3292594602794653,0.0,1.35328
66,1611047290.678684,-0.08266403712569108,-0.3292469539939149,0.0,1.35328
67,1611047290.7793698,-0.08266145132580431,-0.32923525422978284,0.0,1.35328
68,1611047290.879405,-0.08265902662107122,-0.3292242833601451,0.0,1.35328
69,1611047290.9784226,-0.08265674799793177,-0.32921397345433456,0.0,1.35328
70,1611047291.0794384,-0.08265460226154406,-0.3292042648106943,0.0,1.35328
71,1611047291.179386,-0.0826525777686489,-0.3291951047478907,0.0,1.35328
72,1611047291.2789538,-0.08265066420616621,-0.3291864466031464,0.0,1.35328
73,1611047291.3782363,-0.08264885240664271,-0.32917824889721103,0.0,1.35328
74,1611047291.4793403,-0.08264713419358818,-0.32917047463456617,0.0,1.35328
75,1611047291.579496,-0.08264550225120115,-0.329163090713984,0.0,1.35328
76,1611047291.6786263,-0.08264395001411218,-0.32915606742965675,0.0,1.35328
77,1611047291.7793047,-0.08264247157364557,-0.3291493780470673,0.0,1.35328
78,1611047291.8781328,-0.08264106293819454,-0.32914300450570794,0.0,1.35328
79,1611047291.9783401,-0.08263971649428334,-0.32913691235748777,0.0,1.35328
80,1611047292.0785143,-0.08263842932526697,-0.32913108840569366,0.0,1.35328
81,1611047292.1785762,-0.08263719745322647,-0.32912551465175066,0.0,1.35328
82,1611047292.2784865,-0.0826360172541139,-0.3291201746982158,0.0,1.35328
83,1611047292.3782873,-0.0826348865935205,-0.32911505888769854,0.0,1.35328
84,1611047292.4801474,-0.08263380000826588,-0.329110142501379,0.0,1.35328
85,1611047292.5783584,-0.08263275599305503,-0.32910541872836785,0.0,1.35328
86,1611047292.678243,-0.08263175199963724,-0.3291008760387969,0.0,1.35328
87,1611047292.77939,-0.08263078568383656,-0.32909650382615857,0.0,1.35328
88,1611047292.8778348,-0.08262985488552478,-0.3290922923166918,0.0,1.35328
89,1611047292.9787467,-0.08262895761090389,-0.3290882324892165,0.0,1.35328
90,1611047293.07868,-0.08262809300719848,-0.3290843204852471,0.0,1.35328
91,1611047293.1799273,-0.08262725731929943,-0.3290805393143387,0.0,1.35328
92,1611047293.2796512,-0.08262645002787813,-0.32907688662672613,0.0,1.35328
93,1611047293.378326,-0.0826256696633092,-0.3290733557729117,0.0,1.35328
94,1611047293.479156,-0.08262491576321843,-0.3290699446608275,0.0,1.35328
95,1611047293.5788643,-0.08262418518799554,-0.3290666390849272,0.0,1.35328
96,1611047293.6791244,-0.08262347771912174,-0.32906343805649624,0.0,1.35328
97,1611047293.779722,-0.08262279224940922,-0.3290603365659296,0.0,1.35328
98,1611047293.8783574,-0.08262212857238274,-0.329057333679005,0.0,1.35328
99,1611047293.9784296,-0.0826214840114676,-0.3290544172852367,0.0,1.35328
100,1611047294.078309,-0.08262085854404339,-0.3290515872822759,0.0,1.35328
101,1611047294.1793993,-0.0826202513198739,-0.32904883982312616,0.0,1.35328
102,1611047294.2786288,-0.08261966230175832,-0.3290461747394679,0.0,1.35328
103,1611047294.3794672,-0.08261908917166794,-0.32904358154310004,0.0,1.35328
104,1611047294.479107,-0.08261853203477877,-0.32904106070990413,0.0,1.35328
105,1611047294.5794225,-0.08261799022702354,-0.32903860923522754,0.0,1.35328
106,1611047294.6794314,-0.08261746312265328,-0.32903622428779344,0.0,1.35328
107,1611047294.7787187,-0.08261695013148207,-0.32903390319723425,0.0,1.35328
108,1611047294.879446,-0.08261645069636508,-0.329031643442681,0.0,1.35328
109,1611047294.978419,-0.08261596429088738,-0.3290294426423055,0.0,1.35328
110,1611047295.079674,-0.08261549041724292,-0.3290272985437243,0.0,1.35328
